model_key,comparison,condition_before,condition_after,is_primary_model_and_comparison,complete,n_expected_paired_images,n_paired_images,n_complete_paired_images,expected_endorsement_before,expected_endorsement_after,expected_endorsement_delta,expected_endorsement_ci_low,expected_endorsement_ci_high,expected_endorsement_sign_flip_p,improved_images,regressed_images,unchanged_images,modal_support_before,modal_support_after,modal_support_delta,plurality_matches_before,plurality_matches_after,wrong_to_right,right_to_wrong,mcnemar_exact_p,stability_before,stability_after,stability_delta,confidence_before,confidence_after,confidence_delta,mixed_none_sensitivity_available,mixed_none_expected_delta,mixed_none_ci_low,mixed_none_ci_high,mixed_none_sign_flip_p,mixed_none_wrong_to_right,mixed_none_right_to_wrong,mixed_none_mcnemar_exact_p
gpt56,p2_minus_p0,p0,p2,True,True,16,16,16,0.4462215,0.453165938,0.006944437,-0.010416688,0.03125,1.0,1,1,14,0.4462215,0.4462215,0.0,11,11,0,0,1.0,1.0,0.958333333,-0.041666667,88.020833333,85.041666667,-2.979166667,True,0.006944437,-0.010416688,0.03125,1.0,0,0,1.0
gpt56,p1_minus_p0,p0,p1,False,True,16,16,16,0.4462215,0.435804813,-0.010416688,-0.031250063,0.0,1.0,0,1,15,0.4462215,0.435804813,-0.010416688,11,10,0,1,1.0,1.0,1.0,0.0,88.020833333,88.5,0.479166667,True,-0.010416688,-0.031250063,0.0,1.0,0,1,1.0
gpt56,p2_minus_p1,p1,p2,False,True,16,16,16,0.435804813,0.453165938,0.017361125,0.0,0.045138917,0.5,2,0,14,0.435804813,0.4462215,0.010416688,10,11,1,0,1.0,1.0,0.958333333,-0.041666667,88.5,85.041666667,-3.458333333,True,0.017361125,0.0,0.045138917,0.5,1,0,1.0
gpt4o,p2_minus_p0,p0,p2,False,True,16,16,16,0.414711063,0.410804813,-0.00390625,-0.01171875,0.0,1.0,0,1,15,0.410804813,0.410804813,0.0,9,9,0,0,1.0,0.979166667,1.0,0.020833333,89.375,88.020833333,-1.354166667,True,-0.00390625,-0.01171875,0.0,1.0,0,0,1.0
gpt4o,p1_minus_p0,p0,p1,False,True,16,16,16,0.414711063,0.418617313,0.00390625,0.0,0.01171875,1.0,1,0,15,0.410804813,0.422523563,0.01171875,9,10,1,0,1.0,0.979166667,0.958333333,-0.020833333,89.375,88.75,-0.625,True,0.00390625,0.0,0.01171875,1.0,1,0,1.0
gpt4o,p2_minus_p1,p1,p2,False,True,16,16,16,0.418617313,0.410804813,-0.0078125,-0.0234375,0.0,1.0,0,1,15,0.422523563,0.410804813,-0.01171875,10,9,0,1,1.0,0.958333333,1.0,0.041666667,88.75,88.020833333,-0.729166667,True,-0.0078125,-0.0234375,0.0,1.0,0,1,1.0
qwen36,p2_minus_p0,p0,p2,False,True,16,16,16,0.39544025,0.39544025,0.0,0.0,0.0,1.0,0,0,16,0.39544025,0.39544025,0.0,11,11,0,0,1.0,1.0,1.0,0.0,91.25,89.791666667,-1.458333333,True,0.0,0.0,0.0,1.0,0,0,1.0
qwen36,p1_minus_p0,p0,p1,False,True,16,16,16,0.39544025,0.401392625,0.005952375,0.0,0.017857125,1.0,1,0,15,0.39544025,0.404368813,0.008928563,11,12,1,0,1.0,1.0,0.979166667,-0.020833333,91.25,89.479166667,-1.770833333,True,0.005952375,0.0,0.017857125,1.0,1,0,1.0
qwen36,p2_minus_p1,p1,p2,False,True,16,16,16,0.401392625,0.39544025,-0.005952375,-0.017857125,0.0,1.0,0,1,15,0.404368813,0.39544025,-0.008928563,12,11,0,1,1.0,0.979166667,1.0,0.020833333,89.479166667,89.791666667,0.3125,True,-0.005952375,-0.017857125,0.0,1.0,0,1,1.0
