model_key,condition,n_expected_images,n_images_with_success,n_complete_images,complete,macro_expected_human_endorsement,micro_expected_human_endorsement,macro_modal_label_human_support,plurality_matches,plurality_match_rate,mean_stability,mean_pairwise_label_agreement,mean_confidence,mixed_none_removed_macro_expected_endorsement,mixed_none_removed_micro_expected_endorsement,mixed_none_removed_macro_modal_support,mixed_none_removed_plurality_matches,mixed_none_removed_plurality_match_rate,actual_models
gpt56,p0,16,16,16,True,0.4462215,0.446428621,0.4462215,11,0.6875,1.0,1.0,88.020833333,0.4462215,0.446428621,0.4462215,11,0.6875,"[""gpt-5.6-sol""]"
gpt56,p1,16,16,16,True,0.435804813,0.43928575,0.435804813,10,0.625,1.0,1.0,88.5,0.435804813,0.43928575,0.435804813,10,0.625,"[""gpt-5.6-sol""]"
gpt56,p2,16,16,16,True,0.453165938,0.45476195,0.4462215,11,0.6875,0.958333333,0.916666667,85.041666667,0.453165938,0.45476195,0.4462215,11,0.6875,"[""gpt-5.6-sol""]"
gpt4o,p0,16,16,16,True,0.414711063,0.417857171,0.410804813,9,0.5625,0.979166667,0.958333333,89.375,0.414711063,0.417857171,0.410804813,9,0.5625,"[""gpt-4o-2024-08-06""]"
gpt4o,p1,16,16,16,True,0.418617313,0.4214286,0.422523563,10,0.625,0.958333333,0.916666667,88.75,0.418617313,0.4214286,0.422523563,10,0.625,"[""gpt-4o-2024-08-06""]"
gpt4o,p2,16,16,16,True,0.410804813,0.414285743,0.410804813,9,0.5625,1.0,1.0,88.020833333,0.410804813,0.414285743,0.410804813,9,0.5625,"[""gpt-4o-2024-08-06""]"
qwen36,p0,16,16,16,True,0.39544025,0.40000005,0.39544025,11,0.6875,1.0,1.0,91.25,0.39544025,0.40000005,0.39544025,11,0.6875,"[""qwen3.6-flash-2026-04-16""]"
qwen36,p1,16,16,16,True,0.401392625,0.40476195,0.404368813,12,0.75,0.979166667,0.958333333,89.479166667,0.401392625,0.40476195,0.404368813,12,0.75,"[""qwen3.6-flash-2026-04-16""]"
qwen36,p2,16,16,16,True,0.39544025,0.40000005,0.39544025,11,0.6875,1.0,1.0,89.791666667,0.39544025,0.40000005,0.39544025,11,0.6875,"[""qwen3.6-flash-2026-04-16""]"
